구,행정동,사업장명,인허가일자,소재지지번주소,소재지도로명주소
수정구,고등동,별약국,2021-01-26,경기도 성남시 수정구 고등동 593번지 6호 ,"경기도 성남시 수정구 청계산로 689, 1층 103호 (고등동)"
수정구,고등동,코리아약국,2024-04-03,경기도 성남시 수정구 고등동 572번지 현대지식산업센터 성남고등 ,"경기도 성남시 수정구 고등로 3, 현대지식산업센터 성남고등 C동 B11층 6호 (고등동)"
수정구,고등동,더조은약국,2024-11-07,경기도 성남시 수정구 고등동 597번지 ,"경기도 성남시 수정구 청계산로 695, 1층 107호 (고등동)"
수정구,고등동,메가팩토리약국,2025-06-17,경기도 성남시 수정구 고등동 581번지 2호 ,"경기도 성남시 수정구 고등로5길 10, 1층 일부호 (고등동)"
분당구,구미동,성빈약국,2004-05-11,경기도 성남시 분당구 구미동 205번지 1호 오성프라자 302호 ,"경기도 성남시 분당구 미금로 48, 302호 (구미동, 오성플라자)"
분당구,구미동,무지개약국,2019-11-05,"경기도 성남시 분당구 구미동 159번지 월드쇼핑,삼성SDA C-1호 ","경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑,삼성SDA 지1층 C-1호 (구미동)"
분당구,구미동,알파약국,2020-04-07,경기도 성남시 분당구 구미동 23번지 1호 분당프라자 ,"경기도 성남시 분당구 돌마로 68, 분당프라자 308호 (구미동)"
분당구,구미동,분당메디칼약국,2020-07-09,경기도 성남시 분당구 구미동 23번지 1호 분당프라자 ,"경기도 성남시 분당구 돌마로 68, 분당프라자 1층 112,113호 (구미동)"
분당구,구미동,하나약국,2022-07-12,경기도 성남시 분당구 구미동 144번지 4호 하나빌딩 101호 ,"경기도 성남시 분당구 미금일로 71, 하나빌딩 101호 (구미동)"
분당구,구미1동,우리마을약국,2022-09-19,경기도 성남시 분당구 구미동 112번지 2호 하얀마을아파트 205호 ,"경기도 성남시 분당구 미금일로 55, 하얀마을아파트 205호 (구미동)"
분당구,구미동,더사랑약국,2023-06-13,경기도 성남시 분당구 구미동 23번지 1호 분당프라자 508호 ,"경기도 성남시 분당구 돌마로 68, 분당프라자 5층 508호 (구미동)"
분당구,구미동,미래팜대학약국,2023-08-14,경기도 성남시 분당구 구미동 7번지 2호 101호 ,"경기도 성남시 분당구 돌마로 46, 101호 (구미동)"
분당구,구미동,무지개약국,2023-09-12,경기도 성남시 분당구 구미동 159번지 월드쇼핑(CGV Square) C-1호 ,"경기도 성남시 분당구 탄천상로151번길 20, 월드쇼핑(CGV Square) 지1층 C-1호 (구미동)"
분당구,구미1동,시니어스약국,2023-10-20,경기도 성남시 분당구 구미동 297번지 2호 서울시니어스분당타워 161호 ,"경기도 성남시 분당구 구미로173번길 47, 서울시니어스분당타워 161호 (구미동)"
분당구,금곡동,버즈약국,2022-03-16,경기도 성남시 분당구 궁내동 251번지 104호 ,"경기도 성남시 분당구 궁내로40번길 39, 104호 (궁내동)"
분당구,금곡동,분당중앙 약국,2004-03-03,경기도 성남시 분당구 금곡동 206번지 대덕프라자 103호 ,"경기도 성남시 분당구 정자일로 25, 103호 (금곡동, 대덕프라자)"
분당구,금곡동,새분당서울약국,2013-08-26,경기도 성남시 분당구 금곡동 154번지 미금프라자 106호 ,"경기도 성남시 분당구 돌마로 75, 106호 (금곡동, 미금프라자)"
분당구,금곡동,임약국,2014-06-10,경기도 성남시 분당구 금곡동 159번지 한국프라자 ,"경기도 성남시 분당구 성남대로 170, 301호 (금곡동, 한국프라자)"
