구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도
분당구,야탑2동,335,도시공원,실외,숲속(7호) 어린이공원,경기도 성남시 분당구 야탑동 213-1,223.0,2008-11-18,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,N,N,2025-07-05,37.41402381,127.140379
수정구,단대동,404,주택단지,실외,논골 선경아파트 103동옆 놀이터,경기도 성남시 수정구 논골로 87,328.0,2008-12-09,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+철봉(1)+충격흡수용표면재(모래)(1),2022-12-16,Y,Y,N,2025-07-05,37.46169818,127.1570223
수정구,단대동,405,주택단지,실외,논골 선경아파트 관리소옆 놀이터,경기도 성남시 수정구 논골로 87,328.0,2008-12-09,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+철봉(1)+충격흡수용표면재(모래)(1),2022-12-16,Y,Y,N,2025-07-05,37.46169818,127.1570223
분당구,운중동,408,주택단지,실외,산운마을9단지 대방노블랜드 놀이터,경기도 성남시 분당구 산운로 126,328.0,2008-12-10,민간,그네(1)+흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2022-08-30,Y,Y,N,2025-07-05,37.39216865,127.0755636
분당구,운중동,456,주택단지,실외,판교 LIG건영아파트 놀이터,경기도 성남시 분당구 판교원로 7,328.0,2009-01-08,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-11,Y,Y,N,2025-07-05,37.39101732,127.0696995
분당구,삼평동,457,주택단지,실외,풍성신미주아파트 110동앞 놀이터,경기도 성남시 분당구 동판교로 275,328.0,2009-01-12,민간,흔들놀이기구(3)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,2025-07-05,37.40641418,127.1147216
분당구,삼평동,458,주택단지,실외,풍성신미주아파트 113동앞 놀이터,경기도 성남시 분당구 동판교로 275,328.0,2009-01-12,민간,흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,2025-07-05,37.40641418,127.1147216
분당구,삼평동,461,주택단지,실외,풍성신미주아파트 125동옆 놀이터,경기도 성남시 분당구 동판교로 275,328.0,2009-01-13,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,2025-07-05,37.40641418,127.1147216
분당구,삼평동,462,주택단지,실외,풍성신미주아파트 117동앞 놀이터,경기도 성남시 분당구 동판교로 275,328.0,2009-01-13,민간,그네(1)+회전놀이기구(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,2025-07-05,37.40641418,127.1147216
분당구,판교동,511,주택단지,실외,한림풀에버아파트 901동앞 놀이터,경기도 성남시 분당구 서판교로 29,328.0,2009-02-27,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-08,Y,Y,N,2025-07-05,37.38988163,127.0973138
분당구,판교동,512,주택단지,실외,한림풀에버아파트 916동앞 놀이터,경기도 성남시 분당구 서판교로 29,328.0,2009-02-27,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-08,Y,Y,N,2025-07-05,37.38988163,127.0973138
