구,행정동,공시지가_평균
분당구,구미1동,1607927.0
분당구,구미동,2653659.0
분당구,금곡동,1522440.0
분당구,백현동,2702799.0
분당구,분당동,2835372.0
분당구,삼평동,3789069.0
분당구,서현1동,2115202.0
분당구,서현2동,3262246.0
분당구,수내1동,4051133.0
분당구,수내2동,4051133.0
분당구,수내3동,4051133.0
분당구,야탑1동,2467610.0
분당구,야탑2동,2467610.0
분당구,야탑3동,2467610.0
분당구,운중동,1524121.0
분당구,이매1동,1484978.0
분당구,이매2동,1484978.0
분당구,정자1동,4571806.0
분당구,정자2동,4571806.0
분당구,정자3동,4571806.0
분당구,정자동,4571806.0
분당구,판교동,3944735.0
수정구,고등동,881336.0
수정구,단대동,2888120.0
수정구,복정동,2153470.0
수정구,산성동,4424831.0
수정구,수진1동,3683128.0
수정구,수진2동,3683128.0
수정구,시흥동,1021253.0
수정구,신촌동,1140412.0
수정구,신흥1동,3694427.0
수정구,신흥2동,3694427.0
수정구,신흥3동,3694427.0
수정구,양지동,1946256.0
수정구,위례동,4079488.0
수정구,태평1동,2738852.0
수정구,태평2동,2738852.0
수정구,태평3동,2738852.0
수정구,태평4동,2738852.0
중원구,금광1동,3038267.0
중원구,금광2동,3038267.0
중원구,도촌동,636822.0
중원구,상대원1동,2752711.0
중원구,상대원2동,2752711.0
중원구,상대원3동,2752711.0
중원구,성남동,3504721.0
중원구,은행1동,2147415.0
중원구,은행2동,2147415.0
중원구,중앙동,5225524.0
중원구,하대원동,1830366.0
