행정동,매출 ,유동인구,업소수
신흥1동,,,0
신흥2동,976,"41,050",4
신흥3동,,,0
태평1동,543,"72,237",4
태평2동,,,0
태평3동,511,"30,162",6
태평4동,,,0
수진1동,,,0
수진2동,481,"62,215",4
단대동,,,0
산성동,,,0
양지동,,,0
복정동,,,0
위례동,"1,768","252,479",28
신촌동,,,0
고등동,,,0
시흥동,814,"206,245",5
성남동,479,"194,983",9
중앙동,,,0
금광1동,421,"24,227",6
금광2동,419,"37,992",6
은행1동,,,0
은행2동,,,0
상대원1동,349,"98,712",6
상대원2동,,,0
상대원3동,,,0
하대원동,,,0
도촌동,640,"163,284",9
분당동,,,0
수내1동,,,0
수내2동,,,0
수내3동,,,0
정자동,"1,234","76,366",10
정자1동,736,"267,125",5
정자2동,,,0
정자3동,,,0
서현1동,"1,028","331,935",15
서현2동,863,"58,980",4
이매1동,,,0
이매2동,,,0
야탑1동,,,0
야탑2동,,,0
야탑3동,,,0
판교동,"1,350","172,813",7
삼평동,,,0
백현동,"1,104","190,114",10
금곡동,"4,007","94,019",5
구미1동,,,0
구미동,716,"177,083",5
운중동,"1,195","286,415",11
