구,행정동,시설번호,시설유형,실내_실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,관리자 연락처,데이터기준일자
분당구,수내1동,133.0,어린이집,실외,분당구청어린이집 놀이시설,경기도 성남시 분당구 분당로 50,,2008-08-20,공공,조합놀이대(1)+기타(2)+충격흡수용표면재(모래)(1),2022-07-08,Y,N,N,031-713-2225,2025-07-05
분당구,야탑2동,335.0,도시공원,실외,숲속(7호) 어린이공원,경기도 성남시 분당구 야탑동 213-1,223,2008-11-18,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,N,N,031-729-7386,2025-07-05
수정구,단대동,404.0,주택단지,실외,논골 선경아파트 103동옆 놀이터,경기도 성남시 수정구 논골로 87,,2008-12-09,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+철봉(1)+충격흡수용표면재(모래)(1),2022-12-16,Y,Y,N,031-733-4444,2025-07-05
수정구,단대동,405.0,주택단지,실외,논골 선경아파트 관리소옆 놀이터,경기도 성남시 수정구 논골로 87,,2008-12-09,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+철봉(1)+충격흡수용표면재(모래)(1),2022-12-16,Y,Y,N,031-733-4444,2025-07-05
분당구,운중동,408.0,주택단지,실외,산운마을9단지 대방노블랜드 놀이터,경기도 성남시 분당구 산운로 126,,2008-12-10,민간,그네(1)+흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2022-08-30,Y,Y,N,,2025-07-05
분당구,운중동,456.0,주택단지,실외,판교 LIG건영아파트 놀이터,경기도 성남시 분당구 판교원로 7,,2009-01-08,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-11,Y,Y,N,,2025-07-05
분당구,삼평동,457.0,주택단지,실외,풍성신미주아파트 110동앞 놀이터,경기도 성남시 분당구 동판교로 275,,2009-01-12,민간,흔들놀이기구(3)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,,2025-07-05
분당구,삼평동,458.0,주택단지,실외,풍성신미주아파트 113동앞 놀이터,경기도 성남시 분당구 동판교로 275,,2009-01-12,민간,흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,,2025-07-05
분당구,삼평동,461.0,주택단지,실외,풍성신미주아파트 125동옆 놀이터,경기도 성남시 분당구 동판교로 275,,2009-01-13,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,,2025-07-05
분당구,삼평동,462.0,주택단지,실외,풍성신미주아파트 117동앞 놀이터,경기도 성남시 분당구 동판교로 275,,2009-01-13,민간,그네(1)+회전놀이기구(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,,2025-07-05
분당구,판교동,511.0,주택단지,실외,한림풀에버아파트 901동앞 놀이터,경기도 성남시 분당구 서판교로 29,,2009-02-27,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-08,Y,Y,N,031-8016-7801,2025-07-05
분당구,판교동,512.0,주택단지,실외,한림풀에버아파트 916동앞 놀이터,경기도 성남시 분당구 서판교로 29,,2009-02-27,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-08,Y,Y,N,031-8016-7801,2025-07-05
분당구,판교동,513.0,주택단지,실외,한림풀에버아파트 913동앞 놀이터,경기도 성남시 분당구 서판교로 29,,2009-02-27,민간,회전놀이기구(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-08,Y,Y,N,031-8016-7801,2025-07-05
분당구,판교동,514.0,주택단지,실외,한림풀에버아파트 906동앞 놀이터,경기도 성남시 분당구 서판교로 29,,2009-02-27,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-08,Y,N,N,031-8016-7801,2025-07-05
분당구,판교동,515.0,주택단지,실외,한림풀에버아파트 923동앞 놀이터,경기도 성남시 분당구 서판교로 29,,2009-02-27,민간,미끄럼틀(1)+흔들놀이기구(2)+충격흡수용표면재(포설도포바닥재)(1),2023-03-08,Y,Y,N,031-8016-7801,2025-07-05
분당구,판교동,550.0,주택단지,실외,판교원마을12단지 휴먼시아 1207동 놀이터,경기도 성남시 분당구 서판교로 165,,2009-04-06,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-30,Y,Y,N,031-8016-0322,2025-07-05
분당구,판교동,551.0,주택단지,실외,판교원마을11단지 휴먼시아힐스테이트 1113동옆 놀이터,경기도 성남시 분당구 서판교로 147,117,2009-04-06,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-22,Y,Y,N,031-8017-3331,2025-07-05
분당구,판교동,552.0,주택단지,실외,판교원마을11단지 휴먼시아힐스테이트 1108동앞 놀이터,경기도 성남시 분당구 서판교로 147,134,2009-04-06,민간,조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-22,Y,Y,N,031-8017-3331,2025-07-05
분당구,삼평동,678.0,주택단지,실외,봇들마을9단지 금호어울림 904동 놀이터,경기도 성남시 분당구 동판교로 156,,2009-06-08,민간,조합놀이대(1)+충격흡수용표면재(고무바닥재)(1),2023-04-20,Y,Y,N,,2025-07-05
분당구,삼평동,679.0,주택단지,실외,봇들마을9단지 금호어울림 907동 놀이터,경기도 성남시 분당구 동판교로 156,,2009-06-08,민간,흔들놀이기구(2)+충격흡수용표면재(고무바닥재)(1),2023-04-20,Y,Y,N,,2025-07-05
분당구,삼평동,680.0,주택단지,실외,봇들마을9단지 금호어울림 908동 놀이터,경기도 성남시 분당구 동판교로 156,,2009-06-08,민간,조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-20,Y,Y,N,,2025-07-05
