행정동,인구수
신흥1동,11962
신흥2동,31526
신흥3동,10619
태평1동,13538
태평2동,13568
태평3동,11500
태평4동,10825
수진1동,10686
수진2동,14264
단대동,14100
산성동,4375
양지동,8842
복정동,13540
위례동,45242
신촌동,4456
고등동,11668
시흥동,3599
성남동,31794
중앙동,16530
금광1동,19585
금광2동,23225
은행1동,9250
은행2동,20371
상대원1동,22289
상대원2동,2896
상대원3동,11012
하대원동,19470
도촌동,25682
분당동,24362
수내1동,17832
수내2동,10336
수내3동,13161
정자동,13706
정자1동,30354
정자2동,13850
정자3동,16483
서현1동,30592
서현2동,17201
이매1동,24529
이매2동,12772
야탑1동,16488
야탑2동,15549
야탑3동,26564
판교동,26302
삼평동,23518
백현동,26208
금곡동,26675
구미1동,16036
구미동,27869
운중동,38600
