구별,동별,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지전화번호
수정구,단대동,금광동물병원,1991-01-18,경기도 성남시 수정구 산성대로 431 (단대동),경기도 성남시 수정구 단대동 97-3번지,031-731-5511
분당구,수내동,분당헤르쯔 동물병원,1993-12-21,"경기도 성남시 분당구 돌마로 364, 현대제일상가 1층 17,18,19호 (수내동)",경기도 성남시 분당구 수내동 79번지 2호 현대제일상가 ,031-712-2795
분당구,서현동,서울종합동물병원,1994-06-24,경기도 성남시 분당구 불정로 381 (서현동),경기도 성남시 분당구 서현동 305-1,031-702-5323
중원구,상대원동,한국동물병원,1994-12-20,"경기도 성남시 중원구 희망로 360, 10호 (상대원동)",경기도 성남시 중원구 상대원동 2999-10번지 10호,031-746-8990
분당구,정자동,상록 동물병원,1995-08-17,경기도 성남시 분당구 정자로 78 (정자동),경기도 성남시 분당구 정자동 126-1번지,031-716-8275
중원구,하대원동,성남동물병원,2001-04-24,"경기도 성남시 중원구 둔촌대로 243, 3호 (하대원동)",경기도 성남시 중원구 하대원동 127-3,031-752-7582
분당구,서현동,우성동물병원,1996-04-16,"경기도 성남시 분당구 돌마로 481, 분당우성프라자 (서현동)",경기도 성남시 분당구 서현동 95번지 분당우성프라자,031-707-1776
수정구,신흥동,가나동물병원,2001-07-14,"경기도 성남시 수정구 수정로 160 (신흥동, 신흥상가)",경기도 성남시 수정구 신흥동 5536번지,031-721-7582
중원구,성남동,조은동물병원,2004-01-14,"경기도 성남시 중원구 광명로142번길 3, 미래타운 B101호 (성남동)",경기도 성남시 중원구 성남동 2759 미래타운,031-741-1701
수정구,신흥동,신흥동물병원,2004-04-09,"경기도 성남시 수정구 수정로 226, 창진빌딩 (신흥동)",경기도 성남시 수정구 신흥동 3414번지 창진빌딩,031-732-2423
분당구,금곡동,굿모닝펫 동물병원,2004-05-03,"경기도 성남시 분당구 정자일로 55, 108-110호 (금곡동, 분당두산위브아파트)",경기도 성남시 분당구 금곡동 192 분당두산위브아파트 108-110호,031-715-7119
분당구,금곡동,엔젤동물병원,2004-06-19,"경기도 성남시 분당구 성남대로171번길 17, 씨티밸리 101호 (금곡동)",경기도 성남시 분당구 금곡동 172번지 씨티밸리 101호,031-713-5004
분당구,야탑동,아이펫동물병원,2004-07-20,"경기도 성남시 분당구 장미로 78, 시그마3 105호 (야탑동)",경기도 성남시 분당구 야탑동 360-1번지 시그마3 105호,031-781-7501
중원구,금광동,강남동물병원,2004-08-13,경기도 성남시 중원구 광명로 341 (금광동),경기도 성남시 중원구 금광동 3661,031-741-3012
분당구,이매동,아름동물병원,2005-04-08,"경기도 성남시 분당구 성남대로779번길 52, 신흥코아 102호 (이매동)",경기도 성남시 분당구 이매동 137-4번지 신흥코아 102호,031-706-7595
수정구,복정동,이플동물병원,2006-02-21,경기도 성남시 수정구 복정로 35 (복정동),경기도 성남시 수정구 복정동 694번지,031-751-3985
분당구,정자동,분당정자 동물병원,2007-09-13,"경기도 성남시 분당구 정자일로 120, 119호 (정자동, 아데나루체 상가 )",경기도 성남시 분당구 정자동 170-1번지 아데나 루체상가 119호,031-712-7275
중원구,중앙동,세이브 동물병원,2008-01-30,경기도 성남시 중원구 산성대로 336-3 (중앙동),경기도 성남시 중원구 중앙동 241번지,031-735-5995
