읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),종류(RFID종류_내장형),종류(RFID종류_외장형),종류(RFID종류_인식표),등록_품종수,동물소유자수,동물소유자당_동물등록수,합계,미승인,반려,데이터 기준일자
율동,7,88,0,57,33,5,29,69,1.38,95,0,0,2025-05-26
구미동,419,2938,3,1853,1301,206,96,2568,1.31,3360,1,1,2025-05-26
궁내동,29,192,0,127,79,15,41,164,1.35,221,0,1,2025-05-26
금곡동,289,1845,0,1185,844,105,73,1657,1.29,2134,0,0,2025-05-26
대장동,19,389,0,201,192,15,54,286,1.43,408,0,2,2025-05-26
동원동,5,76,0,46,29,6,28,60,1.35,81,0,0,2025-05-26
백현동,179,1632,2,1097,599,117,78,1383,1.31,1813,0,2,2025-05-26
분당동,224,1867,0,1273,676,142,80,1568,1.33,2091,0,1,2025-05-26
삼평동,138,1244,0,769,535,78,70,1117,1.24,1382,0,0,2025-05-26
서현동,424,3370,4,2198,1299,301,94,3035,1.25,3798,0,5,2025-05-26
석운동,12,35,0,31,14,2,17,31,1.52,47,0,0,2025-05-26
수내동,375,2833,1,1813,1213,183,85,2576,1.25,3209,0,5,2025-05-26
야탑동,469,3543,4,2423,1375,218,94,2996,1.34,4016,0,1,2025-05-26
운중동,147,1677,0,1083,637,104,85,1203,1.52,1824,0,2,2025-05-26
이매동,239,2316,1,1502,833,221,85,2056,1.24,2556,0,1,2025-05-26
정자동,479,6509,6,4216,2424,354,119,5409,1.29,6994,0,8,2025-05-26
판교동,126,1294,0,811,513,96,72,1093,1.3,1420,0,3,2025-05-26
하산운동,0,10,0,5,5,0,5,7,1.43,10,0,0,2025-05-26
고등동,25,420,0,261,152,32,51,321,1.39,445,0,3,2025-05-26
금토동,19,132,0,89,52,10,33,87,1.74,151,0,0,2025-05-26
단대동,77,1010,0,698,309,80,58,804,1.35,1087,0,2,2025-05-26
둔전동,2,13,0,5,3,7,9,11,1.36,15,0,0,2025-05-26
복정동,47,678,5,476,200,54,59,545,1.34,730,0,1,2025-05-26
사송동,5,88,0,63,26,4,32,63,1.48,93,0,0,2025-05-26
산성동,91,628,1,423,228,69,49,549,1.31,720,0,2,2025-05-26
상적동,6,80,0,45,27,14,31,56,1.54,86,0,0,2025-05-26
수진동,182,2669,1,1934,801,117,89,1853,1.54,2852,0,7,2025-05-26
시흥동,12,191,1,105,85,14,32,124,1.65,204,0,0,2025-05-26
신촌동,9,51,0,34,17,9,19,43,1.4,60,0,0,2025-05-26
신흥동,288,3699,2,2548,1183,258,87,2938,1.36,3989,0,8,2025-05-26
심곡동,11,246,0,182,62,13,39,142,1.81,257,0,0,2025-05-26
양지동,58,643,1,426,247,29,53,567,1.24,702,0,1,2025-05-26
오야동,10,68,0,37,31,10,21,54,1.44,78,0,0,2025-05-26
창곡동,107,2587,14,1479,918,311,78,2000,1.35,2708,0,6,2025-05-26
태평동,425,4656,1,3156,1611,315,100,3694,1.38,5082,0,4,2025-05-26
중동,0,557,0,557,0,0,27,399,1.4,557,0,0,2025-05-26
갈현동,4,30,0,21,9,4,16,29,1.17,34,0,0,2025-05-26
금광동,237,2587,1,1777,884,164,77,2162,1.31,2825,0,1,2025-05-26
도촌동,84,1080,0,691,409,64,58,923,1.26,1164,0,2,2025-05-26
성남동,231,2516,0,1804,746,197,84,2051,1.34,2747,0,3,2025-05-26
여수동,43,583,0,274,317,35,57,495,1.26,626,0,0,2025-05-26
은행동,272,2740,1,1890,939,184,85,2194,1.37,3013,0,5,2025-05-26
중앙동,105,1088,0,758,366,69,58,802,1.49,1193,0,1,2025-05-26
상대원동,301,3891,0,2826,1148,218,95,3096,1.35,4192,0,2,2025-05-26
하대원동,164,1448,0,1085,409,118,66,1232,1.31,1612,0,0,2025-05-26
