구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자
수정구,신흥1동         ,11971 ,6401 ,5570 ,11256 ,6034 ,5222 ,3178 ,1385 ,1793 ,7409 ,20 ,2026-03-31
수정구,신흥2동         ,31527 ,15306 ,16221 ,26618 ,12819 ,13799 ,5319 ,2452 ,2867 ,12310 ,44 ,2026-03-31
수정구,신흥3동         ,10623 ,5726 ,4897 ,9957 ,5387 ,4570 ,2640 ,1248 ,1392 ,6455 ,9 ,2026-03-31
수정구,태평1동         ,13530 ,7037 ,6493 ,12795 ,6673 ,6122 ,3647 ,1607 ,2040 ,8252 ,22 ,2026-03-31
수정구,태평2동         ,13568 ,6844 ,6724 ,12549 ,6344 ,6205 ,3425 ,1467 ,1958 ,7535 ,17 ,2026-03-31
수정구,태평3동         ,11497 ,5899 ,5598 ,10612 ,5464 ,5148 ,3071 ,1384 ,1687 ,6299 ,15 ,2026-03-31
수정구,태평4동         ,10833 ,5572 ,5261 ,9893 ,5071 ,4822 ,2680 ,1191 ,1489 ,5907 ,16 ,2026-03-31
수정구,수진1동         ,10701 ,5712 ,4989 ,10151 ,5429 ,4722 ,3225 ,1452 ,1773 ,6674 ,13 ,2026-03-31
수정구,수진2동         ,14263 ,7183 ,7080 ,13169 ,6620 ,6549 ,4045 ,1838 ,2207 ,7480 ,32 ,2026-03-31
수정구,단대동          ,14102 ,6918 ,7184 ,12565 ,6109 ,6456 ,3361 ,1455 ,1906 ,6508 ,25 ,2026-03-31
수정구,산성동          ,4377 ,2194 ,2183 ,3942 ,1957 ,1985 ,1143 ,484 ,659 ,2093 ,21 ,2026-03-31
수정구,양지동          ,8842 ,4331 ,4511 ,8038 ,3924 ,4114 ,2239 ,977 ,1262 ,4249 ,10 ,2026-03-31
수정구,복정동          ,13540 ,7433 ,6107 ,11817 ,6551 ,5266 ,1512 ,701 ,811 ,7875 ,18 ,2026-03-31
수정구,위례동          ,45248 ,21856 ,23392 ,36691 ,17570 ,19121 ,7380 ,3411 ,3969 ,18748 ,123 ,2026-03-31
수정구,신촌동          ,4452 ,2356 ,2096 ,3676 ,1946 ,1730 ,624 ,295 ,329 ,1991 ,14 ,2026-03-31
수정구,고등동          ,11670 ,5719 ,5951 ,9876 ,4817 ,5059 ,1821 ,832 ,989 ,5280 ,37 ,2026-03-31
수정구,시흥동          ,3592 ,1932 ,1660 ,3342 ,1812 ,1530 ,749 ,365 ,384 ,2180 ,25 ,2026-03-31
중원구,성남동          ,31792 ,16576 ,15216 ,29460 ,15401 ,14059 ,7267 ,3351 ,3916 ,18466 ,47 ,2026-03-31
중원구,중앙동          ,16540 ,8420 ,8120 ,14218 ,7223 ,6995 ,3312 ,1520 ,1792 ,7524 ,16 ,2026-03-31
중원구,금광1동         ,19592 ,9612 ,9980 ,16339 ,7987 ,8352 ,2977 ,1354 ,1623 ,8249 ,16 ,2026-03-31
중원구,금광2동         ,23230 ,11464 ,11766 ,21041 ,10368 ,10673 ,5420 ,2425 ,2995 ,11839 ,35 ,2026-03-31
중원구,은행1동         ,9259 ,4563 ,4696 ,8289 ,4059 ,4230 ,1964 ,855 ,1109 ,4408 ,10 ,2026-03-31
중원구,은행2동         ,20383 ,10029 ,10354 ,18768 ,9200 ,9568 ,5317 ,2291 ,3026 ,10561 ,49 ,2026-03-31
중원구,상대원1동       ,22293 ,11578 ,10715 ,20170 ,10493 ,9677 ,5428 ,2450 ,2978 ,11516 ,20 ,2026-03-31
중원구,상대원2동       ,2890 ,1491 ,1399 ,2623 ,1343 ,1280 ,751 ,364 ,387 ,1515 ,8 ,2026-03-31
중원구,상대원3동       ,11010 ,5815 ,5195 ,10160 ,5383 ,4777 ,3032 ,1456 ,1576 ,6304 ,15 ,2026-03-31
중원구,하대원동        ,19467 ,9713 ,9754 ,17240 ,8583 ,8657 ,4487 ,2111 ,2376 ,8365 ,34 ,2026-03-31
중원구,도촌동          ,25686 ,12399 ,13287 ,21577 ,10241 ,11336 ,4850 ,2147 ,2703 ,10843 ,59 ,2026-03-31
분당구,분당동          ,24357 ,11974 ,12383 ,20590 ,10023 ,10567 ,4441 ,2038 ,2403 ,10065 ,88 ,2026-03-31
분당구,수내1동         ,17827 ,8520 ,9307 ,14692 ,6887 ,7805 ,2616 ,1073 ,1543 ,7871 ,117 ,2026-03-31
분당구,수내2동         ,10344 ,5065 ,5279 ,7598 ,3688 ,3910 ,1264 ,577 ,687 ,3193 ,44 ,2026-03-31
분당구,수내3동         ,13158 ,6521 ,6637 ,10400 ,5143 ,5257 ,1589 ,719 ,870 ,5130 ,32 ,2026-03-31
분당구,정자동          ,13712 ,6959 ,6753 ,11804 ,6001 ,5803 ,2391 ,1134 ,1257 ,6248 ,57 ,2026-03-31
분당구,정자1동         ,30369 ,14386 ,15983 ,25580 ,11997 ,13583 ,4398 ,2032 ,2366 ,14112 ,270 ,2026-03-31
분당구,정자2동         ,13886 ,6611 ,7275 ,12229 ,5736 ,6493 ,2863 ,1131 ,1732 ,7098 ,65 ,2026-03-31
분당구,정자3동         ,16491 ,7946 ,8545 ,13663 ,6544 ,7119 ,2576 ,1117 ,1459 ,6644 ,80 ,2026-03-31
분당구,서현1동         ,30588 ,14816 ,15772 ,25319 ,12144 ,13175 ,4589 ,2095 ,2494 ,12685 ,173 ,2026-03-31
분당구,서현2동         ,17215 ,8455 ,8760 ,14392 ,6979 ,7413 ,2868 ,1331 ,1537 ,6546 ,64 ,2026-03-31
분당구,이매1동         ,24534 ,11991 ,12543 ,20217 ,9734 ,10483 ,4041 ,1863 ,2178 ,9031 ,96 ,2026-03-31
분당구,이매2동         ,12768 ,6246 ,6522 ,10462 ,5057 ,5405 ,2457 ,1199 ,1258 ,4368 ,50 ,2026-03-31
분당구,야탑1동         ,16467 ,8117 ,8350 ,14475 ,7093 ,7382 ,3502 ,1621 ,1881 ,7563 ,60 ,2026-03-31
분당구,야탑2동         ,15551 ,7371 ,8180 ,13110 ,6157 ,6953 ,3587 ,1639 ,1948 ,5995 ,83 ,2026-03-31
분당구,야탑3동         ,26547 ,13051 ,13496 ,23452 ,11478 ,11974 ,5568 ,2440 ,3128 ,12729 ,61 ,2026-03-31
분당구,금곡동,26667 ,12560 ,14107 ,23323 ,10832 ,12491 ,5837 ,2532 ,3305 ,11972 ,158 ,2026-03-31
분당구,구미동,27854 ,13130 ,14724 ,24456 ,11430 ,13026 ,6176 ,2713 ,3463 ,12639 ,158 ,2026-03-31
분당구,구미1동,16037 ,7752 ,8285 ,13850 ,6624 ,7226 ,2867 ,1306 ,1561 ,6914 ,78 ,2026-03-31
분당구,판교동          ,26324 ,12940 ,13384 ,20285 ,9808 ,10477 ,3123 ,1512 ,1611 ,8983 ,108 ,2026-03-31
분당구,삼평동          ,23520 ,11391 ,12129 ,19047 ,9134 ,9913 ,3253 ,1474 ,1779 ,9090 ,59 ,2026-03-31
분당구,백현동          ,26189 ,12465 ,13724 ,21928 ,10250 ,11678 ,4267 ,1902 ,2365 ,10532 ,107 ,2026-03-31
분당구,운중동          ,38610 ,18770 ,19840 ,30642 ,14725 ,15917 ,4708 ,2260 ,2448 ,14082 ,168 ,2026-03-31
