구,행정동,시설번호,시설유형,실내_실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,관리자 연락처,데이터기준일자
분당구,서현1동,16143.0,주택단지,실외,시범한양아파트 319동,경기도 성남시 분당구 중앙공원로 17,1532.86,1991-09-30,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(고무바닥재)(1),2022-11-25,Y,N,N,031-701-8050,2025-07-05
분당구,정자1동,16237.0,주택단지,실외,한솔마을 청구아파트 (116동 옆),경기도 성남시 분당구 불정로 219,3255.0,1994-04-30,민간,그네(1)+흔들놀이기구(4)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-11-11,Y,N,N,031-707-7841,2025-07-05
분당구,이매2동,16241.0,주택단지,실외,분당 이매촌 삼환아파트 (1102동 1110동사이),경기도 성남시 분당구 양현로 220,872.0,1994-09-29,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+철봉(1)+충격흡수용표면재(모래)(1),2022-08-23,Y,Y,N,02-420-0121,2025-07-05
수정구,태평2동,16342.0,주택단지,실외,쌍용스윗닷홈아파트,경기도 성남시 수정구 태평로 9,1535.8,2005-12-07,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-16,Y,Y,N,031-734-0972,2025-07-05
중원구,하대원동,16347.0,주택단지,실외,하대원현대아파트,경기도 성남시 중원구 시민로28번길 6,1943.18,1995-03-17,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-07-14,Y,Y,N,031-603-3707,2025-07-05
분당구,분당동,23672.0,주택단지,실외,샛별마을 라이프아파트 109동,경기도 성남시 분당구 분당로 190,892.0,1993-01-01,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(고무바닥재)(1),2023-07-18,Y,Y,N,031-729-7386,2025-07-05
중원구,은행2동,29906.0,도시공원,실외,은행공원 놀이터,경기도 성남시 중원구 은행동 199-1,2905.0,2008-12-10,공공,그네(1)+공중놀이기구(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-29,Y,Y,N,031-729-6455,2025-07-05
분당구,서현1동,31321.0,주택단지,실외,시범단지 현대아파트 (425동),경기도 성남시 분당구 중앙공원로 20,1937.0,2009-11-04,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-07-22,Y,Y,N,031-729-6455,2025-07-05
분당구,삼평동,34183.0,주택단지,실외,봇들마을7단지 유아놀이터(705동),경기도 성남시 분당구 동판교로 155,963.0,2009-06-25,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-10-25,Y,Y,N,031-729-4272,2025-07-05
수정구,산성동,34351.0,도시공원,실외,단대공원 놀이터(2),경기도 성남시 수정구 산성동 510-3,1044.0,2009-09-02,공공,조합놀이대(2)+기타(1)+충격흡수용표면재(기타바닥재)(1),2024-06-19,Y,Y,N,031-729-4384,2025-07-05
분당구,분당동,34363.0,도시공원,실외,태현공원 놀이터,경기도 성남시 분당구 분당동 88,1338.0,2009-09-03,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-08-16,Y,Y,N,031-729-4384,2025-07-05
분당구,구미1동,36112.0,주택단지,실외,하얀마을주공6단지 612동 놀이터,경기도 성남시 분당구 미금일로 57,1087.0,2009-11-02,민간,조합놀이대(1)+기타(3)+충격흡수용표면재(포설도포바닥재)(1),2023-11-03,Y,Y,N,031-729-4272,2025-07-05
중원구,은행2동,36422.0,도시공원,실외,은행공원 물이용놀이터,경기도 성남시 중원구 금빛로112번길 35,1163.0,2009-08-31,공공,물이용놀이기구(조합놀이대형)(1)+물이용놀이기구(기타)+ 단품)(1)+충격흡수용표면재(포설도포바닥재)(1),2023-07-24,Y,Y,Y,031-729-4384,2025-07-05
분당구,분당동,39187.0,도시공원,실외,동문(40호) 어린이공원,경기도 성남시 분당구 분당동 124,986.0,2010-06-10,공공,조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-17,Y,Y,N,031-729-7462,2025-07-05
분당구,구미동,500278.0,주택단지,실외,까치마을 건영빌라5단지  503~4동앞,경기도 성남시 분당구 미금일로 136,978.69,1995-06-22,민간,흔들놀이기구(2)+충격흡수용표면재(모래)(1),2022-12-26,Y,Y,N,,2025-07-05
분당구,구미동,500279.0,주택단지,실외,까치마을 건영빌라5단지 506동놀이터,경기도 성남시 분당구 미금일로 136,891.0,2015-02-09,민간,흔들놀이기구(2)+충격흡수용표면재(모래)(1),2022-12-26,Y,N,N,,2025-07-05
