행정동,Y,반려동물등록수,펫파크수,인구수_원본,유동인구_원본,상권활성도_원본,교통편의도_원본,공시지가_원본,놀이터개수_원본,인구수_Z값,유동인구_Z값,상권활성도_Z값,교통편의도_Z값,공시지가_Z값,놀이터개수_Z값,인구수_기여값,유동인구_기여값,상권활성도_기여값,교통편의도_기여값,공시지가_기여값,놀이터개수_기여값,Z점수,순위
위례동,2708.0,2708.0,0.0,45242.0,252479.0,1794.0,2.0,4079488.0,60.0,3.001564140070756,1.7315842870461702,1.9869384872265416,-1.2646116059892007,1.0716337156854545,2.089826994333435,2056.216891971709,-399.0354557337246,170.5661080556377,-172.42896136410934,50.72209472475244,-394.17457173923265,1311.8661059150327,1
신흥2동,2324.2,2324.2,0.0,31526.0,41050.0,987.0,15.0,3694427.0,9.0,1.4842985658641528,-0.5703624531054167,0.8356235357705282,-0.5830216027611904,0.7245025897693432,-0.5263040000456812,1016.8164468367174,131.43734504346224,71.73299788209268,-79.4946123701864,34.29183726559367,99.26929568101446,1274.053310338694,2
운중동,2289.0,2289.0,0.0,38600.0,186415.0,1209.0,63.0,1524121.0,62.0,2.266825299017952,1.012308267950519,1.1523421469517363,1.9336184091576165,-1.2320205724374027,2.192420366662028,1552.8851803512212,-233.28167971177834,98.92128841310506,263.6475992996829,-58.31345474049633,-413.5253116380659,1210.3336219736684,3
성남동,2747.0,2747.0,0.0,31794.0,194983.0,495.0,40.0,3504721.0,21.0,1.5139447581860666,1.105592915135242,0.13370661369325604,0.7277284034465217,0.5534833035444547,0.08925623392587566,1037.1255252339308,-254.77868796068898,11.477867516065231,99.22528954120386,26.197227784116265,-16.835143711984887,902.4120784026422,4
상대원1동,2581.3,2581.3,0.0,22289.0,98712.0,354.0,68.0,2752711.0,1.0,0.462500511843564,0.05743625440689625,-0.06745250421913294,2.195768410399159,-0.12445104452033207,-0.9366774893600525,316.8352634223168,-13.235914719456499,-5.790371064442634,299.39157968196093,-5.890461989353351,176.67225527634733,767.9823506073726,5
금곡동,2355.0,2355.0,0.0,26675.0,185121.0,4024.0,28.0,1522440.0,26.0,0.9476803608133921,0.9982197603108095,5.168391203145886,0.0985684004668199,-1.233535987975889,0.3457396647473577,649.2069718185019,-230.03504938100215,443.6737111374288,13.439736623736543,-58.38518172086788,-65.21199345906794,752.6881950187293,6
정자1동,2853.7,2853.7,0.0,30354.0,267125.0,750.0,44.0,4571806.0,20.0,1.354651784516082,1.891043547394846,0.4975050184284276,0.9374484044397556,1.51545664672435,0.03795954776157926,928.0021189205459,-435.7820923832981,42.707660693579456,127.82047384702632,71.72892608855747,-7.159773762568277,727.3173134038426,7
금광2동,766.3,1532.6,1.0,23225.0,37992.0,427.0,24.0,3038267.0,1.0,0.566040944729054,-0.6036566234008045,0.03669370576387695,-0.11115160052641404,0.13297667678123076,-0.9366774893600525,387.76547752601704,139.10983001372006,3.1499226687281046,-15.155447682085903,6.2939934579849695,176.67225527634733,697.8360312607117,8
야탑3동,1820.5,1820.5,0.0,26564.0,40221.0,7.0,53.0,2467610.0,49.0,0.9354015274263309,-0.5793882435484763,-0.5625036667411115,1.409318406674532,-0.38146858493551106,1.525563446526175,640.7953759151785,133.51729600498732,-48.28738374129533,192.15963853512682,-18.055502935758266,-287.74550229565,612.3839214825889,9
분당동,2091.0,2091.0,0.0,24362.0,58644.0,3.0,48.0,2835372.0,31.0,0.6918160218559793,-0.37880665448636713,-0.5682103083840161,1.1471684054329896,-0.04993244617006632,0.6022230955688397,473.92750042762725,87.29421209162581,-48.77726284996221,156.41565815284878,-2.3633805351642154,-113.58884320615098,552.9078840808245,10
이매1동,1680.8,1680.8,0.0,24529.0,49262.0,2.0,34.0,1484978.0,24.0,0.7102895819968734,-0.4809537786561933,-0.5696369687947423,0.4131484019566708,-1.267307848120306,0.24314629241876487,486.58278435424904,110.83353648369864,-48.89973262712894,56.33251308247021,-59.9836565207957,-45.861253560234715,499.00419121225843,11
판교동,1420.0,1420.0,0.0,26302.0,172813.0,1362.0,29.0,3944735.0,38.0,0.9064190558280419,0.8642156242756122,1.3706211897928393,0.15099840071512838,0.950154364074739,0.9612998987189145,620.9409783776042,-199.15442642026537,117.6591643196136,20.588532700192154,44.97228759446913,-181.31643285206727,423.6901037195464,12
