scenario_id,scenario_name,조정변수,조정방향,조정비율,인구수_가중치,유동인구_가중치,상권활성도_가중치,교통편의도_가중치,공시지가_가중치,놀이터개수_가중치
BASE,기본 (회귀결과),-,-,0%,0.545,-0.142,0.084,0.084,0.033,-0.112
인구수_+10%,인구수 +10% 조정,인구수,+,+10%,0.5995,-0.142,0.084,0.084,0.033,-0.112
인구수_+20%,인구수 +20% 조정,인구수,+,+20%,0.654,-0.142,0.084,0.084,0.033,-0.112
인구수_-10%,인구수 -10% 조정,인구수,-,-10%,0.4905,-0.142,0.084,0.084,0.033,-0.112
인구수_-20%,인구수 -20% 조정,인구수,-,-20%,0.436,-0.142,0.084,0.084,0.033,-0.112
유동인구_+10%,유동인구 +10% 조정,유동인구,+,+10%,0.545,-0.1562,0.084,0.084,0.033,-0.112
유동인구_+20%,유동인구 +20% 조정,유동인구,+,+20%,0.545,-0.1704,0.084,0.084,0.033,-0.112
유동인구_-10%,유동인구 -10% 조정,유동인구,-,-10%,0.545,-0.1278,0.084,0.084,0.033,-0.112
유동인구_-20%,유동인구 -20% 조정,유동인구,-,-20%,0.545,-0.1136,0.084,0.084,0.033,-0.112
상권활성도_+10%,상권활성도 +10% 조정,상권활성도,+,+10%,0.545,-0.142,0.0924,0.084,0.033,-0.112
상권활성도_+20%,상권활성도 +20% 조정,상권활성도,+,+20%,0.545,-0.142,0.1008,0.084,0.033,-0.112
상권활성도_-10%,상권활성도 -10% 조정,상권활성도,-,-10%,0.545,-0.142,0.0756,0.084,0.033,-0.112
상권활성도_-20%,상권활성도 -20% 조정,상권활성도,-,-20%,0.545,-0.142,0.0672,0.084,0.033,-0.112
교통편의도_+10%,교통편의도 +10% 조정,교통편의도,+,+10%,0.545,-0.142,0.084,0.0924,0.033,-0.112
교통편의도_+20%,교통편의도 +20% 조정,교통편의도,+,+20%,0.545,-0.142,0.084,0.1008,0.033,-0.112
교통편의도_-10%,교통편의도 -10% 조정,교통편의도,-,-10%,0.545,-0.142,0.084,0.0756,0.033,-0.112
교통편의도_-20%,교통편의도 -20% 조정,교통편의도,-,-20%,0.545,-0.142,0.084,0.0672,0.033,-0.112
공시지가_+10%,공시지가 +10% 조정,공시지가,+,+10%,0.545,-0.142,0.084,0.084,0.0363,-0.112
공시지가_+20%,공시지가 +20% 조정,공시지가,+,+20%,0.545,-0.142,0.084,0.084,0.0396,-0.112
공시지가_-10%,공시지가 -10% 조정,공시지가,-,-10%,0.545,-0.142,0.084,0.084,0.0297,-0.112
공시지가_-20%,공시지가 -20% 조정,공시지가,-,-20%,0.545,-0.142,0.084,0.084,0.0264,-0.112
놀이터개수_+10%,놀이터개수 +10% 조정,놀이터개수,+,+10%,0.545,-0.142,0.084,0.084,0.033,-0.1232
놀이터개수_+20%,놀이터개수 +20% 조정,놀이터개수,+,+20%,0.545,-0.142,0.084,0.084,0.033,-0.1344
놀이터개수_-10%,놀이터개수 -10% 조정,놀이터개수,-,-10%,0.545,-0.142,0.084,0.084,0.033,-0.1008
놀이터개수_-20%,놀이터개수 -20% 조정,놀이터개수,-,-20%,0.545,-0.142,0.084,0.084,0.033,-0.0896
