scenario_id,scenario_name,조정변수,조정비율,행정동,Z점수,순위,기본순위,순위변동
BASE,기본 (회귀결과),-,0%,신흥1동,-0.2801,35,35,0
BASE,기본 (회귀결과),-,0%,신흥2동,0.994,3,3,0
BASE,기본 (회귀결과),-,0%,신흥3동,-0.4551,43,43,0
BASE,기본 (회귀결과),-,0%,태평1동,-0.1681,27,27,0
BASE,기본 (회귀결과),-,0%,태평2동,-0.2179,31,31,0
BASE,기본 (회귀결과),-,0%,태평3동,-0.2819,36,36,0
BASE,기본 (회귀결과),-,0%,태평4동,-0.3503,39,39,0
BASE,기본 (회귀결과),-,0%,수진1동,-0.3317,38,38,0
BASE,기본 (회귀결과),-,0%,수진2동,-0.0882,23,23,0
BASE,기본 (회귀결과),-,0%,단대동,-0.1961,30,30,0
BASE,기본 (회귀결과),-,0%,산성동,-0.6811,47,47,0
BASE,기본 (회귀결과),-,0%,양지동,-0.5155,45,45,0
BASE,기본 (회귀결과),-,0%,복정동,-0.1842,28,28,0
BASE,기본 (회귀결과),-,0%,위례동,1.2519,1,1,0
BASE,기본 (회귀결과),-,0%,신촌동,-0.7816,49,49,0
BASE,기본 (회귀결과),-,0%,고등동,-0.6269,46,46,0
BASE,기본 (회귀결과),-,0%,시흥동,-0.7905,50,50,0
BASE,기본 (회귀결과),-,0%,성남동,0.7487,4,4,0
BASE,기본 (회귀결과),-,0%,중앙동,0.0146,22,22,0
BASE,기본 (회귀결과),-,0%,금광1동,0.1052,19,19,0
BASE,기본 (회귀결과),-,0%,금광2동,0.4973,8,8,0
BASE,기본 (회귀결과),-,0%,은행1동,-0.4642,44,44,0
BASE,기본 (회귀결과),-,0%,은행2동,0.2016,17,17,0
BASE,기본 (회귀결과),-,0%,상대원1동,0.5235,7,7,0
BASE,기본 (회귀결과),-,0%,상대원2동,-0.7665,48,48,0
BASE,기본 (회귀결과),-,0%,상대원3동,-0.3916,41,41,0
BASE,기본 (회귀결과),-,0%,하대원동,0.0626,21,21,0
BASE,기본 (회귀결과),-,0%,도촌동,0.2785,15,15,0
BASE,기본 (회귀결과),-,0%,분당동,0.4104,11,11,0
BASE,기본 (회귀결과),-,0%,수내1동,-0.2266,32,32,0
BASE,기본 (회귀결과),-,0%,수내2동,-0.3824,40,40,0
BASE,기본 (회귀결과),-,0%,수내3동,-0.1263,25,25,0
BASE,기본 (회귀결과),-,0%,정자동,-0.2762,34,34,0
BASE,기본 (회귀결과),-,0%,정자1동,0.6361,6,6,0
BASE,기본 (회귀결과),-,0%,정자2동,-0.195,29,29,0
BASE,기본 (회귀결과),-,0%,정자3동,0.0951,20,20,0
BASE,기본 (회귀결과),-,0%,서현1동,0.2643,16,16,0
BASE,기본 (회귀결과),-,0%,서현2동,0.1451,18,18,0
BASE,기본 (회귀결과),-,0%,이매1동,0.3732,13,13,0
BASE,기본 (회귀결과),-,0%,이매2동,-0.4076,42,42,0
BASE,기본 (회귀결과),-,0%,야탑1동,-0.2761,33,33,0
BASE,기본 (회귀결과),-,0%,야탑2동,-0.2974,37,37,0
BASE,기본 (회귀결과),-,0%,야탑3동,0.4797,9,9,0
BASE,기본 (회귀결과),-,0%,판교동,0.4228,10,10,0
BASE,기본 (회귀결과),-,0%,삼평동,-0.1128,24,24,0
BASE,기본 (회귀결과),-,0%,백현동,0.3043,14,14,0
BASE,기본 (회귀결과),-,0%,금곡동,0.7377,5,5,0
BASE,기본 (회귀결과),-,0%,구미1동,-0.1443,26,26,0
BASE,기본 (회귀결과),-,0%,구미동,0.405,12,12,0
BASE,기본 (회귀결과),-,0%,운중동,1.0647,2,2,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,신흥1동,-0.3172,36,35,-1
인구수_+10%,인구수 +10% 조정,인구수,+10%,신흥2동,1.0749,3,3,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,신흥3동,-0.5002,43,43,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,태평1동,-0.1957,27,27,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,태평2동,-0.2453,32,31,-1
인구수_+10%,인구수 +10% 조정,인구수,+10%,태평3동,-0.3217,37,36,-1
인구수_+10%,인구수 +10% 조정,인구수,+10%,태평4동,-0.3942,39,39,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,수진1동,-0.3765,38,38,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,수진2동,-0.1114,24,23,-1
인구수_+10%,인구수 +10% 조정,인구수,+10%,단대동,-0.2202,29,30,1
인구수_+10%,인구수 +10% 조정,인구수,+10%,산성동,-0.7639,47,47,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,양지동,-0.5714,45,45,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,복정동,-0.2117,28,28,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,위례동,1.4155,1,1,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,신촌동,-0.8639,49,49,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,고등동,-0.6657,46,46,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,시흥동,-0.878,50,50,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,성남동,0.8312,4,4,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,중앙동,0.0051,22,22,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,금광1동,0.1141,19,19,0
인구수_+10%,인구수 +10% 조정,인구수,+10%,금광2동,0.5281,9,8,-1
인구수_+10%,인구수 +10% 조정,인구수,+10%,은행1동,-0.5176,44,44,0
