구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터
분당구,운중동,408,주택단지,실외,산운마을9단지 대방노블랜드 놀이터,경기도 성남시 분당구 산운로 126,328.0,2008-12-10,민간,그네(1)+흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2022-08-30,Y,Y,N,2025-07-05,37.39216865,127.0755636,2008,17,2.74081813364627,0,328.0,2
분당구,운중동,456,주택단지,실외,판교 LIG건영아파트 놀이터,경기도 성남시 분당구 판교원로 7,328.0,2009-01-08,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-11,Y,Y,N,2025-07-05,37.39101732,127.0696995,2009,16,3.230035820957028,0,328.0,2
분당구,판교동,550,주택단지,실외,판교원마을12단지 휴먼시아 1207동 놀이터,경기도 성남시 분당구 서판교로 165,328.0,2009-04-06,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-30,Y,Y,N,2025-07-05,37.39984432,127.0934045,2009,16,1.5518595200438328,0,328.0,2
분당구,판교동,551,주택단지,실외,판교원마을11단지 휴먼시아힐스테이트 1113동옆 놀이터,경기도 성남시 분당구 서판교로 147,117.0,2009-04-06,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-22,Y,Y,N,2025-07-05,37.39799364,127.0956344,2009,16,1.3487214917892354,0,117.0,2
분당구,판교동,552,주택단지,실외,판교원마을11단지 휴먼시아힐스테이트 1108동앞 놀이터,경기도 성남시 분당구 서판교로 147,134.0,2009-04-06,민간,조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-22,Y,Y,N,2025-07-05,37.39799364,127.0956344,2009,16,1.3487214917892354,0,134.0,2
분당구,운중동,896,주택단지,실외,산운마을11단지 휴먼시아 1103동앞 놀이터,경기도 성남시 분당구 판교원로 68,328.0,2009-07-17,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-28,Y,Y,N,2025-07-05,37.38916312,127.07512,2009,16,2.7314568804682997,0,328.0,2
분당구,운중동,897,주택단지,실외,산운마을11단지 휴먼시아 1105동앞 놀이터,경기도 성남시 분당구 판교원로 68,328.0,2009-07-17,민간,흔들놀이기구(8)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-28,Y,Y,N,2025-07-05,37.38916312,127.07512,2009,16,2.7314568804682997,0,328.0,2
분당구,운중동,898,주택단지,실외,산운마을12단지 휴먼시아 1206동앞 놀이터,경기도 성남시 분당구 판교원로 46,328.0,2009-07-17,민간,흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2023-11-01,Y,Y,N,2025-07-05,37.38942324,127.0726657,2009,16,2.9499594114570926,0,328.0,2
분당구,운중동,899,주택단지,실외,산운마을12단지 휴먼시아 1207동앞 놀이터,경기도 성남시 분당구 판교원로 46,328.0,2009-07-17,민간,흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-07,Y,Y,N,2025-07-05,37.38942324,127.0726657,2009,16,2.9499594114570926,0,328.0,2
분당구,이매1동,915,도시공원,실외,과수원(20호) 어린이공원,경기도 성남시 분당구 이매동 103,316.5,2009-07-24,공공,그네(1)+흔들놀이기구(9)+조합놀이대(2)+충격흡수용표면재(모래)(1),2023-06-05,Y,Y,N,2025-07-05,37.40239208,127.1259935,2009,16,0.9826496474638854,1,316.5,2
분당구,판교동,941,주택단지,실외,판교원마을2단지푸르지오 놀이터,경기도 성남시 분당구 판교로 30,328.0,2009-07-31,민간,그네(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-23,Y,Y,N,2025-07-05,37.38941308,127.0872895,2009,16,1.666429850759758,0,328.0,2
분당구,분당동,988,도시공원,실외,선지봉(42호) 어린이공원,경기도 성남시 분당구 분당동 179,316.5,2009-08-13,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,2025-07-05,37.36556153,127.1413484,2009,16,1.5904321723821973,1,316.5,2
분당구,판교동,1115,주택단지,실외,판교원마을3단지 유아놀이터,경기도 성남시 분당구 판교로 20,328.0,2009-09-03,민간,흔들놀이기구(2)+건너는기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-02,Y,Y,N,2025-07-05,37.3871768,127.0862328,2009,16,1.7402478696298918,0,328.0,2
분당구,판교동,1116,주택단지,실외,판교원마을3단지 산오름놀이터,경기도 성남시 분당구 판교로 20,328.0,2009-09-03,민간,그네(1)+흔들놀이기구(1)+건너는기구(1)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-23,Y,Y,N,2025-07-05,37.3871768,127.0862328,2009,16,1.7402478696298918,0,328.0,2
중원구,도촌동,1221,도시공원,실외,이왕이공원 놀이터,경기도 성남시 중원구 도촌동 648,316.5,2009-10-09,공공,흔들놀이기구(3)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-07-24,Y,Y,N,2025-07-05,37.41224548,127.1626588,2009,16,3.5190265682361734,1,316.5,2
분당구,판교동,1401,주택단지,실외,판교원마을13단지 휴먼시아 313동우측 놀이터,경기도 성남시 분당구 서판교로 193,466.0,2009-11-18,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-02-16,Y,Y,N,2025-07-05,37.40161015,127.0920153,2009,16,1.7029328290665355,0,466.0,2
분당구,판교동,1402,주택단지,실외,판교원마을13단지 휴먼시아 313동좌측 놀이터,경기도 성남시 분당구 서판교로 193,92.0,2009-11-18,민간,그네(1)+흔들놀이기구(2)+충격흡수용표면재(포설도포바닥재)(1),2023-02-16,Y,Y,N,2025-07-05,37.40161015,127.0920153,2009,16,1.7029328290665355,0,92.0,2
분당구,서현1동,1471,도시공원,실외,수련(36호) 어린이공원,경기도 성남시 분당구 서현동 314-1,316.5,2009-12-09,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,2025-07-05,37.37245825,127.1405939,2009,16,0.8921074288872554,1,316.5,2
